type	subtag	tag	preferredValue	suppressScript	macrolanguage	scope	deprecated	added	prefix	description
language	azo							2009-07-29		Awing
language	azt							2009-07-29		Faire Atta
language	azz							2009-07-29		Highland Puebla Nahuatl
language	ba							2005-10-16		Bashkir
language	baa							2009-07-29		Babatana
language	bab							2009-07-29		Bainouk-Gunyuño
language	bac							2009-07-29		Badui
language	bad					collection		2005-10-16		Banda languages
language	bae							2009-07-29		Baré
language	baf							2009-07-29		Nubaca
language	bag							2009-07-29		Tuki
language	bah							2009-07-29		Bahamas Creole English
language	bai					collection		2005-10-16		Bamileke languages
language	baj							2009-07-29		Barakai
language	bal					macrolanguage		2005-10-16		Baluchi
language	ban							2005-10-16		Balinese
language	bao							2009-07-29		Waimaha
language	bap							2009-07-29		Bantawa
language	bar							2009-07-29		Bavarian
language	bas							2005-10-16		Basa (Cameroon)
language	bat					collection		2005-10-16		Baltic languages
language	bau							2009-07-29		Bada (Nigeria)
language	bav							2009-07-29		Vengo
language	baw							2009-07-29		Bambili-Bambui
language	bax							2009-07-29		Bamun
language	bay							2009-07-29		Batuley
language	baz						2012-08-12	2009-07-29		Tunen
language	bba							2009-07-29		Baatonum
language	bbb							2009-07-29		Barai
language	bbc							2009-07-29		Batak Toba
language	bbd							2009-07-29		Bau
language	bbe							2009-07-29		Bangba
language	bbf							2009-07-29		Baibai
language	bbg							2009-07-29		Barama
language	bbh							2009-07-29		Bugan
language	bbi							2009-07-29		Barombi
language	bbj							2009-07-29		Ghomálá'
language	bbk							2009-07-29		Babanki
language	bbl							2009-07-29		Bats
language	bbm							2009-07-29		Babango
language	bbn							2009-07-29		Uneapa
language	bbo							2009-07-29		Northern Bobo Madaré | Konabéré
language	bbp							2009-07-29		West Central Banda
language	bbq							2009-07-29		Bamali
language	bbr							2009-07-29		Girawa
language	bbs							2009-07-29		Bakpinka
language	bbt							2009-07-29		Mburku
language	bbu							2009-07-29		Kulung (Nigeria)
language	bbv							2009-07-29		Karnai
language	bbw							2009-07-29		Baba
language	bbx							2009-07-29		Bubia
language	bby							2009-07-29		Befang
language	bbz				ar		2020-03-28	2009-07-29		Babalia Creole Arabic
language	bca							2009-07-29		Central Bai
language	bcb							2009-07-29		Bainouk-Samik
language	bcc				bal			2009-07-29		Southern Balochi
language	bcd							2009-07-29		North Babar
language	bce							2009-07-29		Bamenyam
language	bcf							2009-07-29		Bamu
language	bcg							2009-07-29		Baga Pokur
language	bch							2009-07-29		Bariai
language	bci							2009-07-29		Baoulé
language	bcj							2009-07-29		Bardi
language	bck							2009-07-29		Bunuba
language	bcl				bik			2009-07-29		Central Bikol
language	bcm							2009-07-29		Bannoni
language	bcn							2009-07-29		Bali (Nigeria)
language	bco							2009-07-29		Kaluli
language	bcp							2009-07-29		Bali (Democratic Republic of Congo)
language	bcq							2009-07-29		Bench
language	bcr							2009-07-29		Babine
language	bcs							2009-07-29		Kohumono
language	bct							2009-07-29		Bendi
language	bcu							2009-07-29		Awad Bing
language	bcv							2009-07-29		Shoo-Minda-Nye
language	bcw							2009-07-29		Bana
language	bcy							2009-07-29		Bacama
language	bcz							2009-07-29		Bainouk-Gunyaamolo
language	bda							2009-07-29		Bayot
language	bdb							2009-07-29		Basap
language	bdc							2009-07-29		Emberá-Baudó
language	bdd							2009-07-29		Bunama
language	bde							2009-07-29		Bade
language	bdf							2010-03-11		Biage
language	bdg							2009-07-29		Bonggi
language	bdh							2009-07-29		Baka (South Sudan)
language	bdi							2009-07-29		Burun
language	bdj							2009-07-29		Bai (South Sudan) | Bai
language	bdk							2009-07-29		Budukh
language	bdl							2009-07-29		Indonesian Bajau
language	bdm							2009-07-29		Buduma
language	bdn							2009-07-29		Baldemu
language	bdo							2009-07-29		Morom
language	bdp							2009-07-29		Bende
language	bdq							2009-07-29		Bahnar
language	bdr							2009-07-29		West Coast Bajau
language	bds							2009-07-29		Burunge
language	bdt				gba			2009-07-29		Bokoto
language	bdu							2009-07-29		Oroko
language	bdv							2009-07-29		Bodo Parja
language	bdw							2009-07-29		Baham
language	bdx							2009-07-29		Budong-Budong
language	bdy							2009-07-29		Bandjalang
language	bdz							2009-07-29		Badeshi
language	be			Cyrl				2005-10-16		Belarusian
language	bea							2009-07-29		Beaver
language	beb							2009-07-29		Bebele
language	bec							2009-07-29		Iceve-Maci
language	bed							2009-07-29		Bedoanas
language	bee							2009-07-29		Byangsi
language	bef							2009-07-29		Benabena
language	beg							2009-07-29		Belait
language	beh							2009-07-29		Biali
language	bei							2009-07-29		Bekati'
language	bej							2005-10-16		Beja | Bedawiyet
language	bek							2009-07-29		Bebeli
language	bem							2005-10-16		Bemba (Zambia)
language	beo							2009-07-29		Beami
language	bep							2009-07-29		Besoa
language	beq							2009-07-29		Beembe
language	ber					collection		2005-10-16		Berber languages
language	bes							2009-07-29		Besme
language	bet							2009-07-29		Guiberoua Béte
language	beu							2009-07-29		Blagar
language	bev							2009-07-29		Daloa Bété
language	bew							2009-07-29		Betawi
language	bex							2009-07-29		Jur Modo
language	bey							2009-07-29		Beli (Papua New Guinea)
language	bez							2009-07-29		Bena (Tanzania)
language	bfa							2009-07-29		Bari
language	bfb							2009-07-29		Pauri Bareli
language	bfc							2009-07-29		Panyi Bai | Northern Bai
language	bfd							2009-07-29		Bafut
language	bfe							2009-07-29		Betaf | Tena
language	bff							2009-07-29		Bofi
language	bfg							2009-07-29		Busang Kayan
language	bfh							2009-07-29		Blafe
language	bfi							2009-07-29		British Sign Language
language	bfj							2009-07-29		Bafanji
language	bfk							2009-07-29		Ban Khor Sign Language
language	bfl							2009-07-29		Banda-Ndélé
language	bfm							2009-07-29		Mmen
language	bfn							2009-07-29		Bunak
language	bfo							2009-07-29		Malba Birifor
language	bfp							2009-07-29		Beba
language	bfq							2009-07-29		Badaga
language	bfr							2009-07-29		Bazigar
language	bfs							2009-07-29		Southern Bai
language	bft							2009-07-29		Balti
language	bfu							2009-07-29		Gahri
language	bfw							2009-07-29		Bondo
language	bfx							2010-03-11		Bantayanon
language	bfy							2009-07-29		Bagheli
language	bfz							2009-07-29		Mahasu Pahari
language	bg			Cyrl				2005-10-16		Bulgarian
language	bga							2009-07-29		Gwamhi-Wuri
language	bgb							2009-07-29		Bobongko
language	bgc							2009-07-29		Haryanvi
language	bgd							2009-07-29		Rathwi Bareli
language	bge							2009-07-29		Bauria
language	bgf							2009-07-29		Bangandu
language	bgg							2009-07-29		Bugun
language	bgi							2009-07-29		Giangan
language	bgj							2009-07-29		Bangolan
